target_id	tpm01	tpm02	tpm03	tpm04	tpm05	tpm06	tpm07	tpm08	tpm09	tpm10	tpm11	tpm12	tpm13	tpm14	tpm15
MSTRG.19407	7.374914	8.867671	7.880141	2.2100831	1.675239	2.975116	4.072571	5.280135	7.984977	7.002317	9.797737	4.378333	6.7788711	12.818781	10.63976
MSTRG.17907	2.147862	1.804156	1.93158001	5.06763	4.675927	7.001341	4.853102	10.479984	13.11113	10.86711	14.6725	6.968899	11.44249	27.12904	27.21744
MSTRG.19004	13.3634842	11.031821	11.410277	6.610913	4.661161	6.99729	1.766357	1.9906531	12.205908	12.64205	13.70068	9.69716	5.843897	3.685733	4.197032
MSTRG.1402	13.4244	14.7436	12.9189	1.87382	0.970435	1.35405	5.10187	10.4039	34.2091	18.3889	23.4247	4.48704	6.99505	0.186092	0.828608
MSTRG.18405	10.40785	9.14659	9.09869	3.623264	2.620956	4.67833	5.7584585	7.46814	6.00983	6.994191	10.82643	6.2635629	6.0692677	12.961694	14.6642
MSTRG.17093	5.270163	4.424467	5.53633	11.09537	10.618344	12.66566969	6.94943	6.984228	2.97881	9.92857	4.9704	10.71838	6.14815	16.49938	15.5475
MSTRG.18411	5.90701	5.5771223	6.06292	2.814638	2.360712	5.579498	6.982323	3.47077	10.7258596	10.4690758	13.5573833	7.5574296	20.7548342	32.3786617	34.1912989
MSTRG.20963	1.3202892	0.68385493	1.6581624	9.21169	8.649659	6.978377	5.20669	5.5650104	25.753314	12.760454	29.020246	13.572646	11.09846539	3.785621	2.199007
MSTRG.2641	4.26979	2.4605981	3.383813	7.871675	5.733192	6.972146	6.9782564	7.89655	38.746268	13.595466	30.76807	9.2855212	20.40591	5.76491	6.0313681
MSTRG.9776	0.4885663	0.521266605	0.67847507	7.160420349	6.96865951	8.213874176	19.3637045	5.999601205	6.748919902	22.789695	15.9149626	16.85255224	27.72292507	3.8259727	4.4220651
MSTRG.2851	355.6526	366.7122	364.8444	0.0919336	0.0418592	2.024331	30.362682	44.733445	16.2573	18.66304	1.476913	0.2254486	6.965073	1.314140007	1.23418
MSTRG.7290	3.470852	3.878771	3.920466	6.3918961	7.212444	7.401542	3.740037	4.532059	9.3534	6.963691	9.081086	5.990636	110.831026	9.002833	9.419942
