target_id	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm	tpm
KWMTBOMO05078.mrna1	1075.72	831.202	715.555	583.864	361.03	409.708	397.567	402.505	509.84	430.422	405.151	595.301	899.452	697.512	765.596	1053.15
KWMTBOMO02081.mrna1	362.477	599.753	428.767	699.554	556.725	216.492	219.114	215.861	530.343	556.915	618.069	760.098	690.034	738.168	664.185	703.36
KWMTBOMO03120.mrna1	509.244	563.621	503.699	526.107	254.345	635.344	638.946	640.501	363.354	359.987	391.077	652.17	621.861	586.228	674.324	712.831
KWMTBOMO03169.mrna1	486.607	1267.12	722.196	1282.2	447.307	60.8543	58.4651	59.5438	399.009	398.162	543.275	841.042	604.909	809.742	928.069	692.322
KWMTBOMO04594.mrna1	649.276	630.357	612.89	539.318	427.274	326.112	328.073	320.871	330.635	394.63	412.93	749.847	618.416	738.349	691.715	590.51
KWMTBOMO06427.mrna1	1422.18	1075.18	595.119	524.755	215.873	145.416	144.911	146.899	255.453	234.273	242.684	737.352	1302.67	939.023	1016.49	1429.51
KWMTBOMO05258.mrna1	495.137	797.575	568.257	812.718	296.449	457.988	466.717	454.439	400.668	420.014	542.91	921.512	755.717	820.439	922.724	695.124
KWMTBOMO03113.mrna1	1135.25	1017.07	561.041	543.797	373.51	94.1085	97.2932	90.1626	299.758	290.437	311.537	692.582	1184.7	963.019	859.761	1355.02
KWMTBOMO13723.mrna1	656.924	488.619	506.503	419.258	300.113	559.829	545.995	553.153	321.81	303.837	333.894	627.039	597.783	550.052	687.624	676.03
KWMTBOMO04652.mrna1	510.54	540.276	445.227	499.856	133.661	650.947	637.389	637.898	254.592	287.849	310.854	534.976	583.447	539.851	566.401	641.753
KWMTBOMO10174.mrna1	516.358	826.051	437.651	752.34	716.492	42.752	42.992	40.2261	207.372	241.888	589.466	454.208	556.693	817.215	710.71	661.124
